Path	Lines	Status
GlobalHr.SuiteGuiTests.SuiteHrTests.TransferTests.SuiteErrorMessages.TestMultiHireEe	36	Not Started
GlobalHr.SuiteGuiTests.SuiteFramework.SuiteUsCalendar.TestLeapYear	36	Not Started
GlobalHr.SuiteGuiTests.SuiteBusRules.SuiteDeductionBenefitGrps.TestDedUniqueCo	37	Not Started
GlobalHr.SuiteGuiTests.SuiteBusRules.SuiteSalaryDiff.Test08NoLocationAssigned	37	Not Started
GlobalHr.SuiteGuiTests.SuiteReports.SuiteSuppressViaFlag.TestEmpCurRateReport	37	Not Started
GlobalHr.SuiteGuiTests.SuiteMssTests.TestEarnDedLinksShowServerError	38	Not Started
GlobalHr.SuiteGuiTests.SuiteReports.SuiteSuppressViaFlag.TestCurConRateReport	38	Not Started
GlobalHr.SuiteGuiTests.SuiteHrTests.SuitePayScales.ReHireSalRvwDate1.ScenarioSeven	38	Not Started
GlobalHr.SuiteGuiTests.SuiteBusRules.SuiteDeductionBenefitGrps.TestDedQuaFr	38	Not Started
GlobalHr.SuiteGuiTests.SuiteFramework.SuiteFilterCriteria.TestClearFilters	39	Not Started
GlobalHr.SuiteGuiTests.SuiteFramework.SuiteFilterCriteria.TestAddRow	40	Not Started
GlobalHr.SuiteGuiTests.SuiteFramework.SuiteMisc.TestFindByPriorCustomDaysMonths	40	Not Started
GlobalHr.SuiteGuiTests.SuiteReports.AvailableSecurity.TestRolesBase	40	Not Started
GlobalHr.SuiteGuiTests.SuiteReports.TemplateSecurity.TestRolesBase	40	Not Started
GlobalHr.SuiteGuiTests.SuiteBusRules.SuiteUserDefinedFields.TestLanguageEs	41	Not Started
GlobalHr.SuiteGuiTests.SuiteFramework.SuiteUsGridView.SuiteInbox.PagingWorkflow	42	Not Started
GlobalHr.SuiteGuiTests.SuiteHrTests.SuitePayScales.ReHireSalRvwDate1.ScenarioOne	42	Not Started
GlobalHr.SuiteGuiTests.SuiteFramework.SuiteUsCalendar.TestInvalidDateInput	43	Not Started
GlobalHr.SuiteGuiTests.SuiteHrTests.PayTab.AddDependantDeductionGlobal	43	Not Started
GlobalHr.SuiteGuiTests.SuiteReports.TemplateSecurity.TestComponentCompany	43	Not Started
GlobalHr.SuiteGuiTests.SuiteReports.AvailableSecurity.TestComponentCompany	43	Not Started
GlobalHr.SuiteGuiTests.SuiteHrTests.JobTests.VariablePayTabEeadmViewEdit	43	Not Started
GlobalHr.SuiteGuiTests.SuiteHrTests.PayTab.AddDependantDeductionCan	44	Not Started
GlobalHr.SuiteGuiTests.SuiteGlobalTests.TestGloblProductKey.UnregisteredPk.GlobalMss.CareerAndEducationTab	44	Not Started
GlobalHr.SuiteGuiTests.SuiteGlobalTests.TestGloblProductKey.RegisteredPk.GlobalMss.CareerAndEducationTab	44	Not Started
GlobalHr.SuiteGuiTests.SuiteGlobalTests.TestGloblProductKey.UnregisteredPk.GlobalEeadm.CareerAndEducationTab	44	Not Started
GlobalHr.SuiteGuiTests.SuiteHrTests.PayTab.AddDependantDeductionUsa	44	Not Started
GlobalHr.SuiteGuiTests.SuiteHrTests.DeductionCoverageDates.Test01NoWaitingPerdiod	44	Not Started
GlobalHr.SuiteGuiTests.SuiteGlobalTests.TestGloblProductKey.RegisteredPk.GlobalEeadm.CareerAndEducationTab	44	Not Started
GlobalHr.SuiteGuiTests.SuiteReports.CompletedTab.LinkToExcelAdobe	45	Not Started
GlobalHr.SuiteGuiTests.SuiteFramework.SuiteUsGridView.SuiteSuperFinder.UserfinderPaging	46	Not Started
GlobalHr.SuiteGuiTests.SuiteHrTests.DeductionsTab.SuiteHiddenDeductions.HiddenDeductionChgDedGrpSiteAdminMss	46	Not Started
GlobalHr.SuiteGuiTests.SuiteHrTests.JobTests.JobsFlsa	46	Not Started
GlobalHr.SuiteGuiTests.SuiteHrTests.DeductionsTab.SuiteHiddenDeductions.HiddenDeductionChgDedGroupSiteAdmin	46	Not Started
GlobalHr.SuiteGuiTests.SuiteGlobalTests.TestGlobalProductKeyUpdater	47	Not Started
GlobalHr.SuiteGuiTests.SuiteGlobalTests.TestGloblProductKey.UnregisteredPk.GlobalMss.TrainingTab	47	Not Started
GlobalHr.SuiteGuiTests.SuiteGlobalTests.TestGloblProductKey.RegisteredPk.GlobalMss.DocumentsTab	47	Not Started
GlobalHr.SuiteGuiTests.SuiteFramework.SuiteMisc.TestInvalidDateSave	47	Not Started
GlobalHr.SuiteGuiTests.SuiteGlobalTests.TestGloblProductKey.UnregisteredPk.GlobalEeadm.DocumentsTab	47	Not Started
GlobalHr.SuiteGuiTests.SuiteGlobalTests.TestGloblProductKey.RegisteredPk.GlobalEeadm.DocumentsTab	47	Not Started
GlobalHr.SuiteGuiTests.SuiteGlobalTests.TestGloblProductKey.RegisteredPk.GlobalEeadm.TrainingTab	47	Not Started
GlobalHr.SuiteGuiTests.SuiteGlobalTests.TestGloblProductKey.UnregisteredPk.GlobalEeadm.TrainingTab	47	Not Started
GlobalHr.SuiteGuiTests.SuiteHrTests.DeductionsTab.SuiteHiddenDeductions.HiddenDeductionAddDedSiteAdmin	47	Not Started
GlobalHr.SuiteGuiTests.SuiteHrTests.DeductionsTab.SuiteHiddenDeductions.HiddenDeductionAddDedSiteAdminMss	47	Not Started
GlobalHr.SuiteGuiTests.SuiteFramework.SuiteDeepLink.DeepLinkChangeDefaultPassword	47	Not Started
GlobalHr.SuiteGuiTests.SuiteGlobalTests.TestGloblProductKey.UnregisteredPk.GlobalMss.DocumentsTab	47	Not Started
GlobalHr.SuiteGuiTests.SuiteGlobalTests.TestGloblProductKey.RegisteredPk.GlobalMss.TrainingTab	47	Not Started
GlobalHr.SuiteGuiTests.SuiteBusRules.SuiteSalaryDiff.Test09DuplicateLocation	47	Not Started
GlobalHr.SuiteGuiTests.SuiteBusRules.SuiteCurrencyConversion.NewBusinessRuleEs	48	Not Started
GlobalHr.SuiteGuiTests.SuiteBusRules.SuiteEarnings.EarningsCategoryColumns	49	Not Started
GlobalHr.SuiteGuiTests.SuiteFramework.SuiteMisc.TestViewOnlyPrevPageButton	49	Not Started
GlobalHr.SuiteGuiTests.SuiteOtherTests.SearchByNationalId	50	Not Started
GlobalHr.SuiteGuiTests.SuiteBusRules.SuiteCurrencyConversion.NewBusinessRuleFr	50	Not Started
GlobalHr.SuiteGuiTests.SuiteBusRules.SuiteSalaryDiff.Test10FindBy	51	Not Started
GlobalHr.SuiteGuiTests.SuiteHrTests.CanadaTransferTests.SuiteErrorMessages.TestTerminatedEe	51	Not Started
GlobalHr.SuiteGuiTests.SuitePayrollTests.EarningsTab.EarningsDescHasBlankAndIsRequired	51	Not Started
GlobalHr.SuiteGuiTests.SuiteHrTests.TransferTests.SuiteTicdLink.TestCanTicdEs	52	Not Started
GlobalHr.SuiteGuiTests.SuiteHrTests.TransferTests.SuiteTicdLink.TestCanTicdFr	52	Not Started
GlobalHr.SuiteGuiTests.SuiteHrTests.TransferTests.SuiteTicdLink.TestTicdEn	52	Not Started
GlobalHr.SuiteGuiTests.SuiteHrTests.TransferTests.SuiteTicdLink.TestTicdFr	52	Not Started
GlobalHr.SuiteGuiTests.SuiteHrTests.TransferTests.SuiteTicdLink.TestTicdEs	52	Not Started
GlobalHr.SuiteGuiTests.SuiteFramework.SuiteDeepLink.DeepLinkLanguagePrefs	52	Not Started
GlobalHr.SuiteGuiTests.SuiteHrTests.TransferTests.SuiteTicdLink.TestCanTicdEn	52	Not Started
GlobalHr.SuiteGuiTests.SuiteEeadmTests.TestChangeNameAndAddress	53	Not Started
GlobalHr.SuiteGuiTests.SuiteBusRules.SuiteDeductionBenefitGrps.TestDedValDupl2	53	Not Started
GlobalHr.SuiteGuiTests.SuiteBusRules.SuiteDeductionBenefitGrps.TestDedValDupl	55	Not Started
GlobalHr.SuiteGuiTests.SuiteHrTests.ContactsTests.MssContactAddress	55	Not Started
GlobalHr.SuiteGuiTests.SuiteHrTests.TransferTests.SuiteTicdLink.TestHideTransferEmployeeForGlobal	55	Not Started
GlobalHr.SuiteGuiTests.SuiteFramework.SuiteUsGridView.SuiteAwards.AwardsPagingAndUpdateTest	56	Not Started
GlobalHr.SuiteGuiTests.SuiteBusRules.SuiteCurrencyConversion.NewBusinesRuleSummary	56	Not Started
GlobalHr.SuiteGuiTests.SuiteFramework.SuiteFilterSessionPersistance.TestPreservePageSize	57	Not Started
GlobalHr.SuiteGuiTests.SuiteFramework.SuiteFilterSessionPersistance.TestPreservePageNumber	57	Not Started
GlobalHr.SuiteGuiTests.SuiteHrTests.PersonalTab.EssAddressCountryChange	58	Not Started
GlobalHr.SuiteGuiTests.SuiteFramework.SuiteFilterCriteria.TestChangeCriteria	59	Not Started
GlobalHr.SuiteGuiTests.SuiteFramework.SuiteUsGridView.SuiteMyEmployees.PagingWorkflow	59	Not Started
GlobalHr.SuiteGuiTests.Google508Compliance.StimulateUsClientLinkTest	60	Not Started
